population,gene,n_alleles_reported,n_alleles_scored,mass_reported,coverage,expected_auroc
United Arab Emirates  Abu Dhabi,C,22,16,0.9996000000000002,0.9135654261704681,0.947437746501973
Malaysia Peninsular Indian,C,37,21,0.9995,0.9617808904452226,0.9474454374382004
Pakistan Burusho,C,11,10,0.601,1.0,0.9474586994427037
Uganda Kampala,C,29,22,0.9960000000000001,0.9849397590361445,0.9474786291816142
Italy North,C,20,19,1.0,0.9980000000000001,0.9475398892714006
USA NMDP Caribean Indian,C,26,22,0.9980000000000001,0.9779559118236473,0.9475677605703305
Czech Republic NMDR,C,54,23,0.9995999999999999,0.9776910764305722,0.9476137385858133
England London Ashkenazi Jews,C,15,14,0.5010000000000001,0.998003992015968,0.9476415499010378
Sri Lanka Colombo,C,32,23,1.0030000000000001,0.9880358923230308,0.947736391616571
Mali Bandiagara,C,29,22,1.001,0.9680319680319682,0.9477517928049127
Italy South,C,20,19,1.002,0.9820359281437127,0.9477911236093971
Russia Arkhangelsk Pomor,C,25,11,0.78,0.9871794871794871,0.9479084191242012
USA African American pop 3,C,19,10,0.74,0.841891891891892,0.9481079627267567
Azores Terceira Island,C,17,16,0.775,0.9948387096774194,0.9481308437326615
Germany DKMS - Portugal minority,C,37,22,0.9961999999999999,0.9854446898213213,0.9481582871663771
Poland,C,23,20,0.9600000000000001,0.9833333333333332,0.9481786156732096
Russia Murmansk Saomi Mixed,C,24,10,0.6799999999999999,0.9705882352941178,0.9481909459107946
Portugal Center pop 2,C,14,14,0.6650000000000001,1.0,0.9482663470740471
Germany Essen,C,15,14,0.8440000000000001,0.9727488151658767,0.9484805163885648
Italy pop 5,C,43,23,0.995,0.9859296482412062,0.9486381704732675
USA NMDP Caribean Hispanic,C,55,24,1.000019,0.9752044711150489,0.9486460931797106
Portugal Azores Terceira Island,C,20,19,1.0000000000000002,0.9955999999999999,0.9486793905129223
Switzerland Lausanne,C,52,23,0.9933,0.9954696466324372,0.9487460708995331
Germany DKMS - Austria minority,C,33,23,0.9997999999999999,0.9930986197239448,0.9487988548110627
USA African American Bethesda,C,136,24,0.98,1.0,0.9488406391499682
Spain Sevilla,C,28,21,1.0001,0.973002699730027,0.9489499820006225
USA NMDP Southeast Asian,C,54,24,1.00051,0.9904948476277098,0.9489623096010732
Taiwan Tao,C,51,20,0.63,1.0,0.9489709320732961
Switzerland Sion,C,52,23,0.9951999999999999,0.9893488745980709,0.9490440298095654
Lebanon Mixed,C,23,17,0.797,0.9999999999999999,0.9490972551452668
Germany pop 8,C,122,24,1.0001900000000001,0.9927613753386855,0.9491724552432063
France Southeast,C,22,19,0.9590000000000002,0.9833159541188737,0.9492030313944549
Ghana Ga-Adangbe,C,22,15,1.0001,0.9237076292370763,0.9492095369992001
Germany DKMS - Spain minority,C,42,22,0.9966,0.9808348384507324,0.9492954662595866
USA Eastern European,C,23,18,0.6320000000000001,0.9857594936708859,0.949390445802809
Switzerland Basel,C,52,23,0.9957000000000001,0.9908607010143616,0.9494225036060179
Germany DKMS - German donors,C,900,24,0.9951800000000001,0.9955143793082658,0.9495322294478875
India New Delhi,C,22,15,0.9670000000000001,0.777662874870734,0.949615463714142
Russia Karelia,C,26,21,1.0004,0.9948020791683326,0.9496486591304388
Czech Republic,C,44,15,0.774,1.0,0.9496910522868909
Senegal Niokholo Mandenka,C,38,22,0.842,1.0000000000000002,0.9496949878523366
USA Philadelphia Caucasian,C,143,24,1.0,0.9900000000000001,0.9497474866483393
"Spain (Catalunya, Navarra, Extremadura, AaragÃ³n, Cantabria,",C,50,23,0.9994,0.9866920152091254,0.9497729413342199
Russia Sakhalin Island Nivkhi,C,4,4,0.566,1.0,0.9498505816149871
Switzerland Geneva pop 2,C,52,23,0.9874999999999998,0.9923037974683545,0.9498553087263866
Germany DKMS - France minority,C,38,21,0.9986999999999999,0.9879843796936018,0.9500525717634336
Switzerland Graubunden,C,52,23,0.9954000000000001,0.9293751255776571,0.9500941909012885
Russia Bering  Island Aleuts,C,20,19,0.9997999999999999,0.9566913382676536,0.9501349267730524
Germany pop 6,C,47,23,0.9985,0.9956534802203305,0.9501964017698306
Spain Gipuzkoa Basque,C,12,11,0.538,1.0,0.950201878934948
Georgia Tibilisi,C,23,21,0.9630000000000002,0.9657320872274143,0.9502085256622882
Switzerland Lugano,C,52,23,0.9933,0.9616430081546361,0.950238696522767
Germany DKMS - Netherlands minority,C,34,22,0.9987,0.9910884149394213,0.9502746020427549
China North Han,C,144,24,0.627,0.9298245614035087,0.9503002589739358
USA San Diego,C,29,24,1.0,0.981,0.9504118651560451
Switzerland St Gallen,C,52,23,0.9952000000000001,0.9947749196141478,0.9504605725181975
USA San Francisco Caucasian,C,23,19,0.9980000000000001,0.9919839679358716,0.9505653876522262
China Inner Mongolia Region,C,29,17,0.743,0.9192462987886946,0.9505679354897684
